Name                                      CurrentValue    Limit
StandardSSDZRSStorageDisks                0               50000
PremiumZRSStorageDisks                    0               50000
UltraSSDStorageDisks                      0               1000
PremiumV2StorageDisks                     0               1000
StandardStorageSnapshots                  0               75000
StandardSSDStorageSnapshots               0               75000
PremiumStorageSnapshots                   0               75000
ZrsStorageSnapshots                       0               75000
UltraSSDTotalSizeInGB                     0               102400
PremiumV2TotalDiskSizeInGB                0               102400
DiskEncryptionSets                        0               5000
DiskAccesses                              0               1000
AttachInProgressUltraSSDDisks             0               40
AttachInProgressPremiumV2SSDDisks         0               40
PremiumV2StorageSnapshots                 0               1000
PremiumV2TotalSnapshotSizeInGB            0               102400
Gallery                                   0               100
Gallery Image                             0               1000
Gallery Image Version                     0               10000
Gallery Application Version               0               300
